"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C12 H16 O4",223.0977645,"O4","CHO","Lignin",12,16,4,0,0,0,1.33,1.33,5,0.3,-0.6667,79.30095
"C13 H20 O3",223.1341628,"O3","CHO","Other",13,20,3,0,0,0,1.54,1.54,4,0.2174,-1.0769,90.99165
"C10 H11 O5 N1",224.0566151,"N1 O5","CHON","Lignin",10,11,5,1,0,0,1.1,1.1,6,0.3846,0.2,54.6
"C7 H15 O7 N1",224.0778086,"N1 O7","CHON","Carbohydrate",7,15,7,1,0,0,2.14,2.14,1,-1.4,0.2857,52.15755
"C11 H15 O4 N1",224.0930473,"N1 O4","CHON","Lignin",11,15,4,1,0,0,1.36,1.36,5,0.25,-0.3636,70.6626
"C10 H10 O6",225.0406496,"O6","CHO","Lignin",10,10,6,0,0,0,1,1,6,0.4286,0.2,54.6
"C11 H14 O5",225.0770479,"O5","CHO","Lignin",11,14,5,0,0,0,1.27,1.27,5,0.2941,-0.3636,70.6626
"C10 H14 O4 N2",225.0882729,"N2 O4","CHON","Lignin",10,14,4,2,0,0,1.4,1.4,5,0.1667,0,60.3
"C12 H18 O4",225.1134162,"O4","CHO","Protein",12,18,4,0,0,0,1.5,1.5,4,0.2,-0.8333,84.04905
"C13 H22 O3",225.1498096,"O3","CHO","Lipid",13,22,3,0,0,0,1.69,1.69,3,0.1304,-1.2308,95.3778
"C11 H17 O4 N1",226.1086698,"N1 O4","CHON","Protein",11,17,4,1,0,0,1.55,1.55,4,0.125,-0.5455,75.84675
"C10 H12 O4 S1",227.0385485,"S1 O4","CHOS","Lignin",10,12,4,0,1,0,1.2,1.2,5,0.2857,-0.2,66
"C10 H12 O6",227.0563054,"O6","CHO","Lignin",10,12,6,0,0,0,1.2,1.2,5,0.2857,0,60.3
"C11 H16 O5",227.0926926,"O5","CHO","Protein",11,16,5,0,0,0,1.45,1.45,4,0.1765,-0.5455,75.84675
"C10 H16 O4 N2",227.1039137,"N2 O4","CHON","Protein",10,16,4,2,0,0,1.6,1.6,4,0,-0.2,66
"C12 H20 O4",227.1290836,"O4","CHO","Protein",12,20,4,0,0,0,1.67,1.67,3,0.1,-1,88.8
"C11 H20 O3 N2",227.1403209,"N2 O3","CHON","Lipid",11,20,3,2,0,0,1.82,1.82,3,-0.0667,-0.7273,81.02805
"C13 H24 O3",227.1654607,"O3","CHO","Lipid",13,24,3,0,0,0,1.85,1.85,2,0.0435,-1.3846,99.7611
"C14 H28 O2",227.2018541,"O2","CHO","Lipid",14,28,2,0,0,0,2,2,1,0,-1.7143,109.15755
"C9 H11 O6 N1",228.0515551,"N1 O6","CHON","Tannin",9,11,6,1,0,0,1.22,1.22,5,0.2,0.4444,47.6346
"C10 H15 O5 N1",228.0879486,"N1 O5","CHON","Protein",10,15,5,1,0,0,1.5,1.5,4,0.0769,-0.2,66
"C11 H19 O4 N1",228.1243178,"N1 O4","CHON","Protein",11,19,4,1,0,0,1.73,1.73,3,0,-0.7273,81.02805
"C12 H23 O3 N1",228.1607211,"N1 O3","CHON","Lipid",12,23,3,1,0,0,1.92,1.92,2,-0.0526,-1.1667,93.55095
"C8 H11 O2 N2 P1 S1",229.0207204,"N2 S1 P1 O2","CHO","Other",8,11,2,2,1,1,1.38,1.38,5,0,0.125,56.7375
"C9 H10 O7",229.0355525,"O7","CHO","Tannin",9,10,7,0,0,0,1.11,1.11,5,0.2727,0.4444,47.6346
"C13 H10 O4",229.0508412,"O4","CHO","Cond Hydrocarbon",13,10,4,0,0,0,0.77,0.77,9,0.6364,-0.1538,64.6833
"C10 H14 O6",229.0719647,"O6","CHO","Lignin",10,14,6,0,0,0,1.4,1.4,4,0.1429,-0.2,66
"C14 H14 O3",229.0871969,"O3","CHO","Other",14,14,3,0,0,0,1,1,8,0.52,-0.5714,76.5849
"C13 H14 O2 N2",229.0984396,"N2 O2","CHON","Other",13,14,2,2,0,0,1.08,1.08,8,0.5,-0.3077,69.06945
"C11 H18 O5",229.108339,"O5","CHO","Protein",11,18,5,0,0,0,1.64,1.64,3,0.0588,-0.7273,81.02805
"C12 H22 O4",229.1447273,"O4","CHO","Protein",12,22,4,0,0,0,1.83,1.83,2,0,-1.1667,93.55095
"C11 H22 O3 N2",229.1559514,"N2 O3","CHON","Lipid",11,22,3,2,0,0,2,2,2,-0.2,-0.9091,86.20935
"C13 H26 O3",229.1811179,"O3","CHO","Lipid",13,26,3,0,0,0,2,2,1,-0.0435,-1.5385,104.14725
"C9 H13 O6 N1",230.0672186,"N1 O6","CHON","Amino Sugar",9,13,6,1,0,0,1.44,1.44,4,0,0.2222,53.9673
"C10 H17 O5 N1",230.1035995,"N1 O5","CHON","Protein",10,17,5,1,0,0,1.7,1.7,3,-0.0769,-0.4,71.7
"C11 H21 O4 N1",230.1399603,"N1 O4","CHON","Protein",11,21,4,1,0,0,1.91,1.91,2,-0.125,-0.9091,86.20935
"C12 H25 O3 N1",230.176372,"N1 O3","CHON","Lipid",12,25,3,1,0,0,2.08,2.08,1,-0.1579,-1.3333,98.29905
"C7 H9 O1 N2 P1 S2",230.9823801,"N2 S2 P1 O1","CHO","Unsat Hydrocarbon",7,9,1,2,2,1,1.29,1.29,5,-0.3333,0.4286,48.0849
"C12 H8 O5",231.0300822,"O5","CHO","Cond Hydrocarbon",12,8,5,0,0,0,0.67,0.67,9,0.6842,0.1667,55.54905
"C9 H12 O5 S1",231.033468,"S1 O5","CHOS","Lignin",9,12,5,0,1,0,1.33,1.33,4,0.0909,0,60.3
"C9 H12 O7",231.0512208,"O7","CHO","Other",9,12,7,0,0,0,1.33,1.33,4,0.0909,0.2222,53.9673
"C13 H12 O4",231.0664907,"O4","CHO","Lignin",13,12,4,0,0,0,0.92,0.92,8,0.5455,-0.3077,69.06945
"C10 H16 O4 S1",231.0698438,"S1 O4","CHOS","Protein",10,16,4,0,1,0,1.6,1.6,3,0,-0.6,77.4
"C10 H16 O6",231.087603,"O6","CHO","Amino Sugar",10,16,6,0,0,0,1.6,1.6,3,0,-0.4,71.7
"C14 H16 O3",231.1028794,"O3","CHO","Other",14,16,3,0,0,0,1.14,1.14,7,0.44,-0.7143,80.65755
"C11 H20 O5",231.1239942,"O5","CHO","Protein",11,20,5,0,0,0,1.82,1.82,2,-0.0588,-0.9091,86.20935
"C10 H20 O4 N2",231.1352195,"N2 O4","CHON","Protein",10,20,4,2,0,0,2,2,2,-0.3333,-0.6,77.4
"C12 H24 O4",231.1603835,"O4","CHO","Protein",12,24,4,0,0,0,2,2,1,-0.1,-1.3333,98.29905
"C10 H19 O5 N1",232.1192438,"N1 O5","CHON","Protein",10,19,5,1,0,0,1.9,1.9,2,-0.2308,-0.6,77.4
"C8 H10 O8",233.0304774,"O8","CHO","Tannin",8,10,8,0,0,0,1.25,1.25,4,0,0.75,38.925
"C12 H10 O5",233.0457286,"O5","CHO","Lignin",12,10,5,0,0,0,0.83,0.83,8,0.5789,0,60.3
"C9 H14 O7",233.0668822,"O7","CHO","Carbohydrate",9,14,7,0,0,0,1.56,1.56,3,-0.0909,0,60.3
"C13 H14 O4",233.082125,"O4","CHO","Lignin",13,14,4,0,0,0,1.08,1.08,7,0.4545,-0.4615,73.45275
"C10 H18 O4 S1",233.0854946,"S1 O4","CHOS","Protein",10,18,4,0,1,0,1.8,1.8,2,-0.1429,-0.8,83.1
"C10 H18 O6",233.1032465,"O6","CHO","Amino Sugar",10,18,6,0,0,0,1.8,1.8,2,-0.1429,-0.6,77.4
"C14 H18 O3",233.1185193,"O3","CHO","Other",14,18,3,0,0,0,1.29,1.29,6,0.36,-0.8571,84.72735
"C11 H22 O5",233.1396244,"O5","CHO","Protein",11,22,5,0,0,0,2,2,1,-0.1765,-1.0909,91.39065
"C15 H22 O2",233.1548963,"O2","CHO","Unsat Hydrocarbon",15,22,2,0,0,0,1.47,1.47,5,0.2857,-1.2,94.5
"C8 H13 O7 N1",234.0621334,"N1 O7","CHON","Carbohydrate",8,13,7,1,0,0,1.62,1.62,3,-0.4286,0.5,46.05
"C9 H17 O6 N1",234.0985334,"N1 O6","CHON","Other",9,17,6,1,0,0,1.89,1.89,2,-0.4,-0.2222,66.6327
"C14 H21 O2 N1",234.1501454,"N1 O2","CHON","Unsat Hydrocarbon",14,21,2,1,0,0,1.5,1.5,5,0.25,-1,88.8
"C11 H8 O6",235.0250109,"O6","CHO","Cond Hydrocarbon",11,8,6,0,0,0,0.73,0.73,8,0.625,0.3636,49.9374
"C12 H12 O5",235.0613965,"O5","CHO","Lignin",12,12,5,0,0,0,1,1,7,0.4737,-0.1667,65.05095
"C9 H16 O5 S1",235.0647564,"S1 O5","CHOS","Amino Sugar",9,16,5,0,1,0,1.78,1.78,2,-0.2727,-0.4444,72.9654
"C11 H12 O4 N2",235.0726415,"N2 O4","CHON","Lignin",11,12,4,2,0,0,1.09,1.09,7,0.4286,0.1818,55.1187
"C13 H16 O4",235.0977821,"O4","CHO","Lignin",13,16,4,0,0,0,1.23,1.23,6,0.3636,-0.6154,77.8389
"C14 H20 O3",235.1341697,"O3","CHO","Other",14,20,3,0,0,0,1.43,1.43,5,0.28,-1,88.8
"C11 H24 O3 S1",235.1375454,"S1 O3","CHOS","Lipid",11,24,3,0,1,0,2.18,2.18,0,-0.2941,-1.4545,101.75325
"C15 H24 O2",235.1705546,"O2","CHO","Lipid",15,24,2,0,0,0,1.6,1.6,4,0.2143,-1.3333,98.29905
"C11 H11 O5 N1",236.0566491,"N1 O5","CHON","Lignin",11,11,5,1,0,0,1,1,7,0.4667,0.1818,55.1187
"C8 H15 O7 N1",236.0778172,"N1 O7","CHON","Carbohydrate",8,15,7,1,0,0,1.88,1.88,2,-0.7143,0.25,53.175
"C12 H15 O4 N1",236.0930176,"N1 O4","CHON","Lignin",12,15,4,1,0,0,1.25,1.25,6,0.3333,-0.3333,69.79905
"C9 H19 O4 N1 S1",236.0963914,"N1 S1 O4","CHONS","Other",9,19,4,1,1,0,2.11,2.11,1,-0.6,-0.6667,79.30095
"C11 H10 O6",237.0406539,"O6","CHO","Lignin",11,10,6,0,0,0,0.91,0.91,7,0.5,0.1818,55.1187
"C12 H14 O5",237.0770556,"O5","CHO","Lignin",12,14,5,0,0,0,1.17,1.17,6,0.3684,-0.3333,69.79905
"C13 H18 O4",237.1134261,"O4","CHO","Lignin",13,18,4,0,0,0,1.38,1.38,5,0.2727,-0.7692,82.2222
"C14 H22 O3",237.14983,"O3","CHO","Lipid",14,22,3,0,0,0,1.57,1.57,4,0.2,-1.1429,92.87265
"C7 H13 O8 N1",238.057068,"N1 O8","CHON","Other",7,13,8,1,0,0,1.86,1.86,2,-1.5,0.8571,35.87265
"C11 H13 O5 N1",238.0723066,"N1 O5","CHON","Lignin",11,13,5,1,0,0,1.18,1.18,6,0.3333,0,60.3
"C8 H17 O7 N1",238.0934687,"N1 O7","CHON","Carbohydrate",8,17,7,1,0,0,2.12,2.12,1,-1,0,60.3
"C13 H4 O1 S2",238.9631631,"S2 O1","CHOS","Other",13,4,1,0,2,0,0.31,0.31,12,0.9048,0.1538,55.9167
"C10 H8 O7",239.0199147,"O7","CHO","Tannin",10,8,7,0,0,0,0.8,0.8,7,0.5385,0.6,43.2
"C14 H8 O4",239.035189,"O4","CHO","Cond Hydrocarbon",14,8,4,0,0,0,0.57,0.57,11,0.75,0,60.3
"C11 H12 O6",239.0563105,"O6","CHO","Lignin",11,12,6,0,0,0,1.09,1.09,6,0.375,0,60.3
"C12 H16 O5",239.0926947,"O5","CHO","Lignin",12,16,5,0,0,0,1.33,1.33,5,0.2632,-0.5,74.55
"C13 H20 O4",239.129086,"O4","CHO","Protein",13,20,4,0,0,0,1.54,1.54,4,0.1818,-0.9231,86.60835
"C12 H20 O3 N2",239.1403249,"N2 O3","CHON","Lipid",12,20,3,2,0,0,1.67,1.67,4,0.0588,-0.6667,79.30095
"C14 H24 O3",239.1654609,"O3","CHO","Lipid",14,24,3,0,0,0,1.71,1.71,3,0.12,-1.2857,96.94245
"C15 H28 O2",239.2018658,"O2","CHO","Lipid",15,28,2,0,0,0,1.87,1.87,2,0.0714,-1.6,105.9
"C11 H15 O5 N1",240.0879351,"N1 O5","CHON","Lignin",11,15,5,1,0,0,1.36,1.36,5,0.2,-0.1818,65.4813
"C12 H19 O4 N1",240.1243472,"N1 O4","CHON","Protein",12,19,4,1,0,0,1.58,1.58,4,0.1111,-0.6667,79.30095
"C10 H10 O7",241.0355608,"O7","CHO","Tannin",10,10,7,0,0,0,1,1,6,0.3846,0.4,48.9
"C14 H10 O4",241.0508308,"O4","CHO","Cond Hydrocarbon",14,10,4,0,0,0,0.71,0.71,10,0.6667,-0.1429,64.37265
"C11 H14 O4 S1",241.0541998,"S1 O4","CHOS","Lignin",11,14,4,0,1,0,1.27,1.27,5,0.25,-0.3636,70.6626
"C11 H14 O6",241.0719709,"O6","CHO","Lignin",11,14,6,0,0,0,1.27,1.27,5,0.25,-0.1818,65.4813
"C10 H14 O5 N2",241.0831898,"N2 O5","CHON","Lignin",10,14,5,2,0,0,1.4,1.4,5,0.0909,0.2,54.6
"C8 H19 O6 P1",241.0848101,"P1 O6","CHOP","Other",8,19,6,0,0,1,2.38,2.38,0,-1,-0.875,85.2375
"C12 H18 O5",241.1083384,"O5","CHO","Protein",12,18,5,0,0,0,1.5,1.5,4,0.1579,-0.6667,79.30095
"C11 H18 O4 N2",241.1195831,"N2 O4","CHON","Protein",11,18,4,2,0,0,1.64,1.64,4,0,-0.3636,70.6626
"C13 H22 O4",241.1447402,"O4","CHO","Protein",13,22,4,0,0,0,1.69,1.69,3,0.0909,-1.0769,90.99165
"C14 H26 O3",241.1811112,"O3","CHO","Lipid",14,26,3,0,0,0,1.86,1.86,2,0.04,-1.4286,101.0151
"C15 H30 O2",241.2175095,"O2","CHO","Lipid",15,30,2,0,0,0,2,2,1,0,-1.7333,109.69905
"C10 H13 O6 N1",242.0672116,"N1 O6","CHON","Lignin",10,13,6,1,0,0,1.3,1.3,5,0.1667,0.2,54.6
"C11 H17 O5 N1",242.1035802,"N1 O5","CHON","Protein",11,17,5,1,0,0,1.55,1.55,4,0.0667,-0.3636,70.6626
"C12 H21 O4 N1",242.1400276,"N1 O4","CHON","Protein",12,21,4,1,0,0,1.75,1.75,3,0,-0.8333,84.04905
"C13 H25 O3 N1",242.1763614,"N1 O3","CHON","Lipid",13,25,3,1,0,0,1.92,1.92,2,-0.0476,-1.2308,95.3778
"C10 H12 O7",243.0512316,"O7","CHO","Tannin",10,12,7,0,0,0,1.2,1.2,5,0.2308,0.2,54.6
"C11 H16 O6",243.0876099,"O6","CHO","Protein",11,16,6,0,0,0,1.45,1.45,4,0.125,-0.3636,70.6626
"C10 H16 O5 N2",243.0988365,"N2 O5","CHON","Protein",10,16,5,2,0,0,1.6,1.6,4,-0.0909,0,60.3
"C12 H20 O5",243.1240049,"O5","CHO","Protein",12,20,5,0,0,0,1.67,1.67,3,0.0526,-0.8333,84.04905
"C13 H24 O4",243.1603837,"O4","CHO","Protein",13,24,4,0,0,0,1.85,1.85,2,0,-1.2308,95.3778
"C12 H24 O3 N2",243.1716154,"N2 O3","CHON","Lipid",12,24,3,2,0,0,2,2,2,-0.1765,-1,88.8
"C14 H28 O3",243.1967728,"O3","CHO","Lipid",14,28,3,0,0,0,2,2,1,-0.04,-1.5714,105.0849
"C10 H15 O6 N1",244.0828692,"N1 O6","CHON","Amino Sugar",10,15,6,1,0,0,1.5,1.5,4,0,0,60.3
"C11 H19 O5 N1",244.1192402,"N1 O5","CHON","Protein",11,19,5,1,0,0,1.73,1.73,3,-0.0667,-0.5455,75.84675
"C12 H23 O4 N1",244.1556489,"N1 O4","CHON","Protein",12,23,4,1,0,0,1.92,1.92,2,-0.1111,-1,88.8
"C9 H14 O2 N2 S2",245.0425004,"N2 S2 O2","CHONS","Lipid",9,14,2,2,2,0,1.56,1.56,4,-0.25,0,60.3
"C13 H10 O5",245.0457603,"O5","CHO","Cond Hydrocarbon",13,10,5,0,0,0,0.77,0.77,9,0.619,0,60.3
"C10 H14 O5 S1",245.0491193,"S1 O5","CHOS","Lignin",10,14,5,0,1,0,1.4,1.4,4,0.0769,-0.2,66
"C10 H14 O7",245.0668713,"O7","CHO","Amino Sugar",10,14,7,0,0,0,1.4,1.4,4,0.0769,0,60.3
"C14 H14 O4",245.0821523,"O4","CHO","Lignin",14,14,4,0,0,0,1,1,8,0.5,-0.4286,72.5151
"C11 H18 O6",245.1032754,"O6","CHO","Protein",11,18,6,0,0,0,1.64,1.64,3,0,-0.5455,75.84675
"C10 H18 O5 N2",245.1145011,"N2 O5","CHON","Protein",10,18,5,2,0,0,1.8,1.8,3,-0.2727,-0.2,66
"C12 H22 O5",245.1396434,"O5","CHO","Protein",12,22,5,0,0,0,1.83,1.83,2,-0.0526,-1,88.8
"C13 H26 O4",245.1760535,"O4","CHO","Protein",13,26,4,0,0,0,2,2,1,-0.0909,-1.3846,99.7611
"C10 H17 O6 N1",246.098528,"N1 O6","CHON","Amino Sugar",10,17,6,1,0,0,1.7,1.7,3,-0.1667,-0.2,66
"C11 H21 O5 N1",246.1349323,"N1 O5","CHON","Protein",11,21,5,1,0,0,1.91,1.91,2,-0.2,-0.7273,81.02805
"C13 H12 O5",247.061405,"O5","CHO","Lignin",13,12,5,0,0,0,0.92,0.92,8,0.5238,-0.1538,64.6833
"C10 H16 O5 S1",247.0647726,"S1 O5","CHOS","Protein",10,16,5,0,1,0,1.6,1.6,3,-0.0769,-0.4,71.7
"C10 H16 O7",247.0825238,"O7","CHO","Carbohydrate",10,16,7,0,0,0,1.6,1.6,3,-0.0769,-0.2,66
"C14 H16 O4",247.0977852,"O4","CHO","Lignin",14,16,4,0,0,0,1.14,1.14,7,0.4167,-0.5714,76.5849
"C11 H20 O6",247.1189304,"O6","CHO","Protein",11,20,6,0,0,0,1.82,1.82,2,-0.125,-0.7273,81.02805
"C15 H20 O3",247.1341856,"O3","CHO","Other",15,20,3,0,0,0,1.33,1.33,6,0.3333,-0.9333,86.89905
"C12 H24 O3 S1",247.1375494,"S1 O3","CHOS","Lipid",12,24,3,0,1,0,2,2,1,-0.1579,-1.3333,98.29905
"C12 H24 O5",247.1552782,"O5","CHO","Protein",12,24,5,0,0,0,2,2,1,-0.1579,-1.1667,93.55095
"C16 H24 O2",247.1705459,"O2","CHO","Unsat Hydrocarbon",16,24,2,0,0,0,1.5,1.5,5,0.2667,-1.25,95.925
"C10 H4 O1 N1 P1 S2",247.9401169,"N1 S2 P1 O1","CHO","Other",10,4,1,1,2,1,0.4,0.4,10,1,0.5,46.05
"C9 H15 O7 N1",248.077788,"N1 O7","CHON","Carbohydrate",9,15,7,1,0,0,1.67,1.67,3,-0.3333,0.2222,53.9673
"C13 H15 O4 N1",248.0930423,"N1 O4","CHON","Lignin",13,15,4,1,0,0,1.15,1.15,7,0.4,-0.3077,69.06945
"C10 H19 O6 N1",248.1142081,"N1 O6","CHON","Other",10,19,6,1,0,0,1.9,1.9,2,-0.3333,-0.4,71.7
"C14 H19 O3 N1",248.1294181,"N1 O3","CHON","Other",14,19,3,1,0,0,1.36,1.36,6,0.3043,-0.7143,80.65755
"C10 H7 O2 N2 P1 S1",248.9896076,"N2 S1 P1 O2","CHO","Cond Hydrocarbon",10,7,2,2,1,1,0.7,0.7,9,0.8,0.5,46.05
"C12 H10 O6",249.0406622,"O6","CHO","Lignin",12,10,6,0,0,0,0.83,0.83,8,0.5556,0.1667,55.54905
"C9 H14 O8",249.061776,"O8","CHO","Carbohydrate",9,14,8,0,0,0,1.56,1.56,3,-0.2,0.2222,53.9673
"C13 H14 O5",249.0770591,"O5","CHO","Lignin",13,14,5,0,0,0,1.08,1.08,7,0.4286,-0.3077,69.06945
"C10 H18 O5 S1",249.0804258,"S1 O5","CHOS","Protein",10,18,5,0,1,0,1.8,1.8,2,-0.2308,-0.6,77.4
"C10 H18 O7",249.0981948,"O7","CHO","Carbohydrate",10,18,7,0,0,0,1.8,1.8,2,-0.2308,-0.4,71.7
"C14 H18 O4",249.113448,"O4","CHO","Lignin",14,18,4,0,0,0,1.29,1.29,6,0.3333,-0.7143,80.65755
"C15 H22 O3",249.1498161,"O3","CHO","Other",15,22,3,0,0,0,1.47,1.47,5,0.2593,-1.0667,90.70095
"C12 H26 O3 S1",249.1531881,"S1 O3","CHOS","Lipid",12,26,3,0,1,0,2.17,2.17,0,-0.2632,-1.5,103.05
"C16 H26 O2",249.1862345,"O2","CHO","Lipid",16,26,2,0,0,0,1.62,1.62,4,0.2,-1.375,99.4875
"C9 H17 O7 N1",250.0934629,"N1 O7","CHON","Carbohydrate",9,17,7,1,0,0,1.89,1.89,2,-0.5556,0,60.3
"C14 H21 O3 N1",250.1450652,"N1 O3","CHON","Other",14,21,3,1,0,0,1.5,1.5,5,0.2174,-0.8571,84.72735
"C12 H12 O6",251.0563277,"O6","CHO","Lignin",12,12,6,0,0,0,1,1,7,0.4444,0,60.3
"C9 H16 O6 S1",251.0596987,"S1 O6","CHOS","Amino Sugar",9,16,6,0,1,0,1.78,1.78,2,-0.4,-0.2222,66.6327
"C13 H16 O5",251.0926958,"O5","CHO","Lignin",13,16,5,0,0,0,1.23,1.23,6,0.3333,-0.4615,73.45275
"C10 H20 O5 S1",251.0960706,"S1 O5","CHOS","Protein",10,20,5,0,1,0,2,2,1,-0.3846,-0.8,83.1
"C10 H20 O7",251.1138371,"O7","CHO","Carbohydrate",10,20,7,0,0,0,2,2,1,-0.3846,-0.6,77.4
"C14 H20 O4",251.1290967,"O4","CHO","Lignin",14,20,4,0,0,0,1.43,1.43,5,0.25,-0.8571,84.72735
"C11 H24 O4 S1",251.1324633,"S1 O4","CHOS","Other",11,24,4,0,1,0,2.18,2.18,0,-0.375,-1.2727,96.57195
"C15 H24 O3",251.1654691,"O3","CHO","Lipid",15,24,3,0,0,0,1.6,1.6,4,0.1852,-1.2,94.5
"C5 H8 O5 N3 P1 S1",251.9851293,"N3 S1 P1 O5","CHO","Carbohydrate",5,8,5,3,1,1,1.6,1.6,4,1.4,2.6,-13.8
"C8 H15 O8 N1",252.0727458,"N1 O8","CHON","Carbohydrate",8,15,8,1,0,0,1.88,1.88,2,-1,0.5,46.05
"C9 H19 O3 N1 S2",252.0735735,"N1 S2 O3","CHONS","Other",9,19,3,1,2,0,2.11,2.11,1,-0.7778,-0.6667,79.30095
"C12 H15 O5 N1",252.0879629,"N1 O5","CHON","Lignin",12,15,5,1,0,0,1.25,1.25,6,0.2941,-0.1667,65.05095
"C9 H19 O7 N1",252.1091147,"N1 O7","CHON","Carbohydrate",9,19,7,1,0,0,2.11,2.11,1,-0.7778,-0.2222,66.6327
"C14 H6 O1 S2",252.9788147,"S2 O1","CHOS","Other",14,6,1,0,2,0,0.43,0.43,12,0.8261,0,60.3
"C11 H10 O7",253.0356006,"O7","CHO","Lignin",11,10,7,0,0,0,0.91,0.91,7,0.4667,0.3636,49.9374
"C12 H14 O6",253.071962,"O6","CHO","Lignin",12,14,6,0,0,0,1.17,1.17,6,0.3333,-0.1667,65.05095
"C9 H18 O6 S1",253.0753372,"S1 O6","CHOS","Other",9,18,6,0,1,0,2,2,1,-0.6,-0.4444,72.9654
"C16 H14 O3",253.0871948,"O3","CHO","Other",16,14,3,0,0,0,0.88,0.88,10,0.5862,-0.5,74.55
"C13 H18 O5",253.1083604,"O5","CHO","Lignin",13,18,5,0,0,0,1.38,1.38,5,0.2381,-0.6154,77.8389
"C14 H22 O4",253.1447411,"O4","CHO","Lipid",14,22,4,0,0,0,1.57,1.57,4,0.1667,-1,88.8
"C13 H22 O3 N2",253.1559612,"N2 O3","CHON","Lipid",13,22,3,2,0,0,1.69,1.69,4,0.0526,-0.7692,82.2222
"C15 H26 O3",253.1811234,"O3","CHO","Lipid",15,26,3,0,0,0,1.73,1.73,3,0.1111,-1.3333,98.29905
"C16 H30 O2",253.2175206,"O2","CHO","Lipid",16,30,2,0,0,0,1.88,1.88,2,0.0667,-1.625,106.6125
"C8 H17 O8 N1",254.0883922,"N1 O8","CHON","Carbohydrate",8,17,8,1,0,0,2.12,2.12,1,-1.3333,0.25,53.175
"C12 H17 O5 N1",254.1036191,"N1 O5","CHON","Lignin",12,17,5,1,0,0,1.42,1.42,5,0.1765,-0.3333,69.79905
"C13 H21 O4 N1",254.1399743,"N1 O4","CHON","Protein",13,21,4,1,0,0,1.62,1.62,4,0.1,-0.7692,82.2222
"C11 H12 O5 S1",255.0334991,"S1 O5","CHOS","Lignin",11,12,5,0,1,0,1.09,1.09,6,0.3333,0,60.3
"C11 H12 O7",255.0512392,"O7","CHO","Lignin",11,12,7,0,0,0,1.09,1.09,6,0.3333,0.1818,55.1187
"C10 H12 O6 N2",255.0624744,"N2 O6","CHON","Lignin",10,12,6,2,0,0,1.2,1.2,6,0.2,0.6,43.2
"C15 H12 O4",255.0664964,"O4","CHO","Cond Hydrocarbon",15,12,4,0,0,0,0.8,0.8,10,0.6154,-0.2667,67.90095
"C12 H16 O4 S1",255.0698647,"S1 O4","CHOS","Lignin",12,16,4,0,1,0,1.33,1.33,5,0.2222,-0.5,74.55
"C12 H16 O6",255.0876294,"O6","CHO","Lignin",12,16,6,0,0,0,1.33,1.33,5,0.2222,-0.3333,69.79905
"C11 H16 O5 N2",255.0988588,"N2 O5","CHON","Protein",11,16,5,2,0,0,1.45,1.45,5,0.0769,0,60.3
"C13 H20 O5",255.1239982,"O5","CHO","Protein",13,20,5,0,0,0,1.54,1.54,4,0.1429,-0.7692,82.2222
"C14 H24 O4",255.1603954,"O4","CHO","Lipid",14,24,4,0,0,0,1.71,1.71,3,0.0833,-1.1429,92.87265
"C15 H28 O3",255.1967739,"O3","CHO","Lipid",15,28,3,0,0,0,1.87,1.87,2,0.037,-1.4667,102.10095
"C16 H32 O2",255.2331613,"O2","CHO","Lipid",16,32,2,0,0,0,2,2,1,0,-1.75,110.175
"C11 H15 O6 N1",256.0828826,"N1 O6","CHON","Lignin",11,15,6,1,0,0,1.36,1.36,5,0.1429,0,60.3
"C12 H19 O5 N1",256.1192573,"N1 O5","CHON","Protein",12,19,5,1,0,0,1.58,1.58,4,0.0588,-0.5,74.55
"C13 H23 O4 N1",256.1556556,"N1 O4","CHON","Protein",13,23,4,1,0,0,1.77,1.77,3,0,-0.9231,86.60835
"C14 H27 O3 N1",256.1920013,"N1 O3","CHON","Lipid",14,27,3,1,0,0,1.93,1.93,2,-0.0435,-1.2857,96.94245
"C14 H10 O5",257.0457488,"O5","CHO","Cond Hydrocarbon",14,10,5,0,0,0,0.71,0.71,10,0.6522,0,60.3
"C11 H14 O5 S1",257.0491218,"S1 O5","CHOS","Lignin",11,14,5,0,1,0,1.27,1.27,5,0.2,-0.1818,65.4813
"C11 H14 O7",257.0669353,"O7","CHO","Lignin",11,14,7,0,0,0,1.27,1.27,5,0.2,0,60.3
"C15 H14 O4",257.0821534,"O4","CHO","Other",15,14,4,0,0,0,0.93,0.93,9,0.5385,-0.4,71.7
"C7 H18 O8 N2",257.0992921,"N2 O8","CHON","Other",7,18,8,2,0,0,2.57,2.57,0,-6,0.5714,44.0151
"C12 H18 O6",257.1032748,"O6","CHO","Protein",12,18,6,0,0,0,1.5,1.5,4,0.1111,-0.5,74.55
"C11 H18 O5 N2",257.1144973,"N2 O5","CHON","Protein",11,18,5,2,0,0,1.64,1.64,4,-0.0769,-0.1818,65.4813
"C13 H22 O5",257.1396545,"O5","CHO","Protein",13,22,5,0,0,0,1.69,1.69,3,0.0476,-0.9231,86.60835
"C14 H26 O4",257.1760546,"O4","CHO","Lipid",14,26,4,0,0,0,1.86,1.86,2,0,-1.2857,96.94245
